Título de la oferta
Gpp&w - técnico-a de mantenimiento
Cocinero
Soldador-a - carpintero-a metálico
Dirección de gestión de personas. no clicar boton inscribirse. hacerlo a través de la web cpen.
Auxiliar clínica dental
Ayudante educativo-a para centro ocupacional
"Administrador-a wintel sccm, hibrido"
Valet - aparcacoches en hotel
Teleoperador-a de atención al cliente (horario irregular)
"Ingeniero-a fullstack java-angular, 100% en remoto"
"Arquitecto .net - inglés alto, 100% en remoto"
Administrativo contable en centro residencial
Administrativo-a
"Desarrollador-a senior fullstack, presencial"
"Consultor-a bmc discovery, 100% en remoto"
"Consultor-a sap hcm, 100% en remoto"
"Data governance - ibm, madrid"
"Desarrollo full-stack (.net - angular), madrid"
"Técnico de redes, hibrido"
Operario-a de producción
"Validation lead, hessen"
"Product owner, gotlands län"
"Enterprise architect, london"
Operario-a de manufactura en salinas (alicante)
"Ingeniero de desarrollo electrónico, bizkaia"
"Senior fullstack node aws (inglés), hibrido"
"Qa tester (murex testing), hibrido"
"Tech lead azure databricks (inglés), 100% en remoto"
"Programador front angular, 100% en remoto"
"Ignite technical program manager, republika bulgariya"
"Programador powercenter- amazon redshift, 100% en remoto"
"Senior system programmer ims, noord-holland"
"Field support engineer, london"
"Consultor sap datasphere (sap bo-bw), españa"
"Software engineer spark scala, 100% en remoto"
"Ingeniero-a programador-a angular, 100% en remoto"
Operador-a de red de nivel i
"Desarrollador-a power apps, 100% en remoto"
"Analista ciberseguridad, 100% en remoto"
"Gerente de cuentas junior, hibrido"
"Consultor-a funcional - pasarela de pago, hibrido"
"Arquitecto-a data, 100% en remoto"
"Desarrollador-a bi, 100% en remoto"
"Techno functional consultant, west midlands"
"Security specialist (ciso), 100% en remoto"
"Administrador-a de sistemas, presencial"
"Cloud engineer, 100% en remoto"
"Programador-a python, 100% en remoto"
2 agentes comerciales de seguros(ref.8643).
"Integrations manager, republika bulgariya"
Operador-a de red nivel i
"Scrum master (inglés avanzado), 100% en remoto"
"Técnico-a cableado, presencial"
"Product owner (data warehouse), utrecht"
"Ingeniero-a de software, hibrido"
"It specialist con inglés, madrid"
Personal de limpieza con discapacidad
Enfermeros especialistas en enfermería geriátrica. madrid.
"Devops engineer (jenkins-gitlab), hibrido"
"Consultor-a senior sap subvenciones, 100% en remoto"
"Programadores junior-senior .net-angular, 100% en remoto"
"Backend senior java, hibrido"
"Data analyst, 100% en remoto"
"Qa tester - banca (temenos core), 100% en remoto"
"Analista programador-a cobol, málaga"
"Analista pro. cobol cics db2 jcl, madrid"
"Programador senior cobol, 100% en remoto"
"Sc cleared data engineer, london"
"Consultor cognos, 100% en remoto"
"Certified automation tester, groningen"
"Ingeniero-a de ciberseguridad, madrid"
"Desarrollador c++ (junior), gipuzkoa"
"Programador senior java backend, 100% en remoto"
"Programador de microservicios, 100% en remoto"
"Programador - programadora, 100% en remoto"
"Experienced it auditor 100% (f-m-d), madrid"
"Software engineering qa, hibrido"
"Backend engineer (java-springboot) f-m-d, madrid"
"Backend engineer (java-springboot) f-m-d, madrid"
"Java fullstack engineer (focus backend), madrid"
"Full stack java software engineer f-m-d, madrid"
"Desarrollador-a junior salesforce, madrid"
"Angular developer, 100% en remoto"
"Senior backend developer, málaga"
"Frontend (react-angular-typescript), madrid"
"Ingeniero-a de sistemas y redes, presencial"
"Infrastructure engineer, skåne"
"Java fullstack engineer (focus backend), madrid"
"Java fullstack engineer (focus frontend), madrid"
"Java fullstack engineer (focus frontend), madrid"
Ingeniero de proyectos (h-m)
Técnico de prevención de riesgos laborales junior_empresa industrial (h-m)
Operador-a soporte técnico (teleoperador-a)
Conductor camión unidades móviles de comunicaciones en unidad de emergencias y chofer de…
"Fullstack java (inglés), 100% en remoto"
"Engineer azure data, 100% en remoto"
"Operador amadeus altea - loyalty, 100% en remoto - primer empleo"
"Devops engineer, hibrido"
Peon ganadero
Peon ganadero
Chofer c y c+e
Operador maquinaria en cantera y obra
Camarera-o de piso avanzada-o | hoteles | 6710
Administrativo-a comercial
Dependiente florista
Peon agricola- cortador de sandia
Comercial de instalaciones fotovoltaicas y aerotermia
Técnico-a multidisciplinar - beone leganés
Instalador eléctrico guadalajara
Carretillero-a almacén materiales de construcción.
Camionero
Se busca data engineer para valladolid
Encargado-responsable bar-pub-coctelería zona tarragona
Monitor viajes en el extranjero
Paleta
Vigilantes-as de seguridad renfe guipuzcoa
Vigilantes-as de seguridad - tudela
Operario de almacén - palista
Vigilantes-as de seguridad- renfe vitoria
Repartidor en camion
Cocinero-a
Camarera-o 40h cafeteria tres cantos
Dependiente - administrativo-a con discapacidad
Formador-a de formación profesional para el empleo
Jardinero-a con discapacidad mínima del 33% para fuengirola
Comercial con discapacidad
Administrativo para tratamiento de documentación para gestión en archivo
Operario de bodega san antonio de padua sdad. coop. de clm
Carnicero deshuesador oficial de primera
Trabajador agricola
Jardinero-a con discapacidad mínimo del 33% para estepona
Educador-a ambiental - balears
Oficiales en calderería y soldadura
Contable
Ingenieros y delineantes para departamento técnico
Panadero
"Conductor camion- castellon de rugat, valencia"
Oferta de trabajo para cocinero-ayudante de cocina
Oferta ayudante de panaderia-reposteria
Sales closer
Agente de seguros especialista en salud (cádiz)
Técnico de soporte de operaciones logísticas
Agente de seguros especialista en salud (málaga)
Técnico-a de recursos humanos
Peon agrario
Peluquero-a canino
Proyección de mortero
Empleada hogar interna
Pintor a pistola
Asesor comercial (h-m)
Dependiente-repartidor tienda de pinturas zaragoza
Jefe ejecutivo de cocina
Administrativo recepcionista
Vigilante de seguridad
Expendedor estación de servicio
Empleado de hogar interno
Técnico de apoyo
Carniceros de comercio - dependientes de carnicería (oficial)
<b>nueva difusión -<-b> 2 puestos docente-instructor competencias digitales (ref.1692)
Soldador
Auxiliar admnistrativo-a
Operario-a de mantenimiento (molina de segura)
Camarera-o de pisos hoteles centro de sevilla
Reposición supermercado 8h semanales
Limpieza centro comercial
Operario-a de limpieza ejea de los caballeros sustitución de vacaciones 8 al 22 de abril 2025
Operario-a de almacén albuixech
Conserje en albergue nocturno en vic
Limpiador-a en cornellà
Control d’accessos parking de tardes en barcelona
Work-location
Monitor-a centro interpretación santa cilia (sector publico)
Mecánico-a diesel y de maquinaria de construcción
Auxiliar de clinica dental
Auxiliar administrativo
Ayte camarero sala
Auxiliar administrativo-a
Titulado superior en agronomía
Work-location
Docente programa experiencial empleo-formación (certificado profesional operaciones aux.…
Monitor-a deportivo-a (ref. 1893)
Ayte camarero sala
Orientadores-as profesionales para la inserción (discapacidad)
Ayudante de camarero
Work-location
Work-location
Operario para el lavado de vehículos
Work-location
Operario-a de lavadero de vehículos (molina de segura)
Camarero-a (ref.: 2298)
"Dependientes de comercio, en general"
Técnico en control y vigilancia de obras
Work-location
Fisioterapeuta
Técnico en prevención de riesgos laborales
Peones de la industria metalúrgica y fabricación de productos metálicos
Work-location
Cocinero-a
Work-location
"Delineantes, en general"
Work-location
Work-location
Work-location
Educador-a social
Ayudante de cocina (ref.: 2299)
Gerocultor-a
"Jardineros, en general"
Work-location
Arquitectos técnicos
Chef especialista de comida hindú.
Técnico-a asesor-a juridico-a (ref. 042025001892)
"Psicólogos, en general"
Auxiliar de enfermería de geriatría
Asesores jurídicos (sector privado)
Mantenedores de edificios
Work-location
Cuidadores de personas con discapacidad intelectual
Auxiliar administrativo
Oferta en mula de guía turístico (2388)
Técnico superior de administración general en recursos humanos
Mantenedores de edificios
Técnico-a en emprendimiento (ref. 2284)
Camareros de piso (hostelería)
Técnico-a en operaciones de sistemas informáticos (empleo público)
Formador-a de formación no reglada ( grupo i). zona de madroñera
Work-location
Técnico-a laboratorio de análisis clínicos
Camarera-o
Técnico-a laboral (ref. 2296)
Electricista
Peluqueros unisex
Cocinero-a - jefe de cocina
Cocinero-a
Work-location
Work-location
Fisioterapeuta
Oficial 1ª o 2ª electricista 042025001889
Docente programa experiencial empleo-formación (certificado profesional montaje-mantenimiento…
Work-location
Personal de limpieza con discapacidad (ref. 2300)
Formadores de formación para el empleo
"Pulidores-abrillantadores de suelos, de terrazo y similares"
"Empleados administrativos, en general"
Ingeniero o ingeniera aplicación metering con discapacidad (igual o superior al 33%)
Ordenanzas
Work-location
Personal para el montaje y desmontaje de conciertos y festivales
2 ayudantes de cocina (ref:2294)
Formadores de formación no reglada
Ayudante cocina
Conductor-a-vendedor-a de furgón de helados (ref.: 2297)
Albañiles
Informador-a turístico
Docente de fontanería para centro penitenciario campos del río (ref. 2394)
Oferta 2432 limpiador-a
Work-location
Docente programa experiencial empleo-formación (certificad profesional operaciones…
Diseñador-a gráfico-a multimedia
Vendedor-a-repartidor-a
Técnico-a de apoyo en procesos sociolaborales
Work-location
Ayte camarero sala
Ayte camarero sala
Nutricionista
Work-location
Conductor de camión o trailer
Work-location
Work-location
Carniceros para la venta en comercio
Formador-a especialidades formativas area profesional logistica y transporte (ref. 2281)
Arquitectos técnicos
Work-location
Terapeutas ocupacionales
Oficial 1ª alicatador-a (ref: 042025001888)
"Técnicos administrativos, en general"
Jefes de equipo de taller de vehículos
1 controlador-a de accesos
Albañil oficial 1ª
"Camareros, en general"
Dependiente-a
"Instaladores electricistas, en general"
Docente recuperacion puntos o permiso o licencia de conduccion
Conductor autobus
"Carpinteros de aluminio, metálico y pvc"
Work-location
Vigilantes de seguridad
Teleoperador@ con discapacidad para tramitación de citas. alcobendas.
Auxiliar administrativo-a (ref.:2293)
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones"
"Fisioterapeutas, en general"
Cocineros-as en general.
Administrativo-a (ref. 2292)
Inspector médico en bilbao. vacante. 3 puestos. pl3 y superación de prueba
"Camareros, en general"
Work-location
Work-location
Work-location
Auxiliar de enfermería
Work-location
Oficial de mantemiento
Enfermeros de cuidados generales
Raseador-a
2 cocineros para el sepad en plasencia
Work-location
"Cocineros, en general"
Camarero-a (ref.2288)
Auxiliares de enfermería
Enfermero-a
Directores de servicios sociales para personas mayores
Work-location
Gerocul@r
Pintor-a de camiones oficial 3ª(ref.: 2280)
Ayudante de cocina (ref.: 2290)
Personal de limpieza o limpiadores en general
Inspector médico en arrasate. sust. it. pl3 superacion prueba
Administrativa-o atencion al cliente
Audioprotesista (ref.2289)
Formador-a de formación no reglada
Herrero-a forjador. oficial de 1ª.
Camareros de barra y terraza
Profesores técnicos de formación profesional (fabricación mecánica)
Oferta de técnico administrativo en soria
"Conductores de camión, en general"
Técnico de calidad
Camarero-a
Limpiador-a con discapacidad en murcia
Dependientes de recambios y accesorios
Carretillero-a (ref.: 2295)
Agentes comerciales
"Mecánicos reparadores de maquinaria agrícola, en general"
Work-location
Work-location
"Conductores de camión, en general"
Terapeutas ocupacionales
Inspector médico en barakaldo. vacante. pl3 y superación de prueba
Psicólogo-a
Profesor de frances
Mozo de almacén (ref. 2291)
Albañiles (oficial de 1ª o 2ª)
2 peones forestales (ref.: 1446)
Calderero
Albañiles (peón)
Operario-a industria alimentación
Conductor-a de camión
Oferta camarero-a para restaurante torrejón de ardoz.
Tornero
Jefe de obra (aquitecto-a técnico) en villalobón (palencia)
Auxiliares de enfermería
Podadores y-o motoserristas forestales
Enfermeros de cuidados generales
Limpiador-a centro sanitario lalin
Operario-a de envasado en fábrica (molina de segura)
Limpieza y mantenimiento de marquesinas
Peones agricolas (poda viñedos y plantación almendros)
Dependiente-a de panadería <b>en oviedo<-b> (ref. 2244)
"Analista programador cobol - cirbe, madrid"
"Electronic workplace l2 client support, madrid"
Ayudante de cocina
Personal de manteniment per esparreguera
Mecánicos de maquinaria agricola
"Desarrollador de aplicaciones, 100% en remoto"
"Camunda bpm business analyst, noord-holland"
"Functional data analyst, madrid"
"Lead appian developer, hessen"
"Platform engineer dbm, groningen"
"Desarrollador .net (remoto - seguros), 100% en remoto"
"Técnico de marketing y comunicación, barcelona"
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones"
Montador electromecánico en tres cantos
"Senior software engineer, barcelona"
"Junior aml analyst, repubblika ta' malta"
"Ingeniero automatismos, sevilla"
"Senior sas statistical programmer, barcelona"
Instalador de equipos de climatización y refrigeración
"Volte-r4 testing resources, rheinland-pfalz"
"Cpq consultants, noord-holland"
"Integration software engineer, gotlands län"
Técnico-a de mantenimieto
"Developer windfall fx, rzeczpospolita polska"
"Technical support analyst, málaga"
"Senior ctera engineer-l3, noord-brabant"
"Deloitte tech camp training for data, madrid - primer empleo"
"Programador-a plc, zaragoza"
"Ingeniero de diseño, gipuzkoa"
Electricista de mantenimiento y reparación
Asesor-a fiscal y contable
"Maestros de educación primaria, en general"
"Cocineros, en general"
Conductores-operadores de grúa torre
Fontanero-climatizador
Work-location
Work-location
Arquitectos técnicos
Personal de limpieza
Work-location
Work-location
Work-location
Work-location
"Formador-docente de certificado de profesionalidad imar0109(instalaciones de climatizacion,…"
Oficial 3º rotulista.
"Fisioterapeutas, en general"
Auxiliar administrativo
"Conductores de camión, en general"
Dependiente-a alimentación (ref. 1783)
Ebanista
Formador-a jardinería en alcalá de henares
Work-location
Farmacéutico-a
Agentes de desarrollo social
Almacenero
Enfermeros de cuidados generales
Técnico-a administrativo
Docente dinamización de actividades de ocio y tiempo libre
Conductores de furgoneta.
Camarero de barra - restaurante
Mecánic@ ciclomotores y motocicletas
Chapista de vehículos
Contable para gestoria de tamarite
Peón-a de la construcción (ref. 2256).
Auxiliar de enfermería (ref.: 2258)
Operario-a de produccion
Mecánico-a de mantenimiento
Camarero-a de pisos hotel 5*(ref. 2260)
Auxiliar centro de día
Operadores de máquinas envasadoras de aceites y grasas comestibles
1 camarero-a - campanario
Comercial-dependiente recambios maquinaria agrícola
Psicòleg-oga
Work-location
Work-location
Work-location
Work-location
Jardinero-a
Instal.lador-a de vidres de cotxes
"Docente especialidad formativa fcoo03 inserción laboral,sensibilización medioambiental y en la…"
Conductor de trailer c+e
Cuiner-a
Pintores y-o empapeladores
Podadores y-o motoserristas forestales
Work-location
Work-location
Work-location
Auxiliar de enfermería
Work-location
Auxiliar de producción de papel y cartón
Vigilantes de seguridad
Comercial - atención al cliente
Mecánica -o
Farmaceútico-a
Formadores de formación para el empleo
Work-location
Work-location
Work-location
"Médicos, medicina general"
"Electricistas de mantenimiento y reparación, en general"
Conductor-a de camión rígido
Limpiador-a con carné de conducir
"Conserjes, en general"
Técnico-a de recursos humanos con certificado de discapacidad (ref. 04 2025 001878)
Camarero-a.
"Cocineros, en general"
Profesor-a de inglés (ref.: 2274)
Técnico-a de especialidad en área jurídica (jurídico-laboral)
Profesionales de la educación ambiental
1 ayudante de camarero-a
Conservadores de museo y galerías de arte
Peón albañil
Calderero-a (ref.: 2270)
Albañiles
Lacador-a de madera
Electricistas. oficiales de primera
"Empleados administrativos de contabilidad, en general"
Expendedores de combustible
Personal de limpieza o limpiadores en general
Work-location
Oferta limpiador-mantenedor-a de piscinas para torrejón de ardoz
Albañiles
Profesor de apoyo socioeducativo
Primeros oficiales de puente de buques mercantes
Aux. administrativo-a de transporte
Técnico-a instaladador-a y de mantenimiento de sistemas de seguridad.
Planchistas (cafetería o restauración)
Operadores de equipos en estación de emisora de radio y-o televisión
1 ayudante de camarero-a
Instaladores electricistas industriales
Profesor-a de autoescuela
Ayudante de dependiente (2363)
Pinches de cocina
Jefes de cocina (hostelería)
Soldador-a (ref.: 2269)
Adjunto-a a dirección contable y financiera
Personal de limpieza o limpiadores en general
Albañiles
Ayudante de cocina
Escayolista. escayola arabe.
Formadores de formación no reglada
Perito-a electricista (ref.:2273)
"Cocineros, en general"
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones"
"Responsable de departamento técnico, para empresa de inslación de sistemas de seguridad."
Auxiliares de enfermería
Montadores de toldos
Limpiador-a
Monitores de tiempo libre -fuentes de ebro- (empleo público)
"Conductores de furgoneta, hasta 3,5 t."
Técnico-a contable (titulación universitaria)
Encofradores
Work-location
Limpiador-a (ref.:2266)
Empleoado-a de hoigar interno-a
"Conductores de camión, en general"
Operario laboratorio fundic. en agurain. contrato 6 meses
Peluqueros de señoras
Pulidor-pulidora
1 ayudante de cocina
Monitor-a centro interpretación aneto (sector público)
Profesores técnicos de formación profesional (electricidad y electrónica)
Gerocultores
Albañiles
"Cocineros, en general"
1 fisioterapeuta
Mecánico automoción
Profesor-a
Maquinista de c.n.c (ref. 2271)
Operario de mantenimiento
Técnico gestión económica presupuestaria en vitoria (ura). contr. pl3 sustit 2 meses
"Docente curso de formación: ""mantenimiento y rehabilitación de edificios"""
Utileria para espectáculos en vivo - inaem
"Consultor-a en economía, competitividad e innovación"
Albañiles
Asistentes domiciliarios
Enfermero-a
Educador-a ambiental - balears
2 puestos de cocinero-a
Empleado-a de departamento de diseño y comunicación
"Administrador-a de redes (nivel 1 y 2), hibrido"
Educador-a ambiental - balears
Profesional de carnicería
Profesional de pescadería
Cuidador-a de mujeres con discapacidad intelectual (turno de mañanas)
Administrativo-a comercial con conocimientos altos en inglés.
6 operarios-as para la industria láctea ( ref. 2287)
Work-location
Ayudante de camarero-a (ref. 2283)
Técnicos en estudios de mercado y opinión pública(marketing)
1 pedicuro-a manicuro-a
Inspector médico en irun. 1 puesto vacante superacion prueba. pl3
Mantenedores de edificios
Cocineros y-o pinches de cocina
Work-location
"Fisioterapeutas, en general"
"Cocineros, en general"
Directores técnicos de centro educativo
Work-location
"Cocineros, en general"
Inspector-a médico-a. en vitoria. vacante. 4 puestos pl3 y superación prueba
Work-location
Work-location
Work-location
Maestro-a educación infantil (num 04 2025 001881)
Conductor-operador de retroexcavadora
Asistentes domiciliarios
Agente comercial
Un ayudante de cocina para hotel meleiros
Ayudante-a de cocina (ref. 2286)
Operario de cargas
Montadores de vídeo
"Mecánicos de mantenimiento y reparación de automoción, en general"
"Técnicos administrativos, en general"
"Formador-a de formación no reglada para impartir curso ""competencias digitales básicas"""
Work-location
Gestores culturales
Ayudante de camarero-a (ref. 2285)
Ferrallistas
Ingeniero-a informático
Work-location
Work-location
Work-location
Fontanero-a - oficial 1.ª (ref. 1497)
Auxiliar servicio limpieza (asl). ref sxsdl
Terapeuta ocupacional para clínica de rehabilitación
Auxiliar cocina-limpieza (jaca). ref. sxsdl
Operario-a de producción
Operario-a de limpieza-discapacidad-media jornada
Reponedor-a vending alcobendas
Jefe-a de partida only you hotels
2º jefe-a de cocina hell´s kitchen - ushuaïa ibiza beach hotel
Operario-a de limpieza-discapacidad-móstoles
Gpp&w - ayudante de camarero-a montador-a de eventos (perfil polivalente)
Confitero-a panadero-a (ref. 1852)
Agente telefónico comercial
Responsable de sala
Camarero-a eventos (rest. cosmocaixa)
Personal de limpieza de zonas comunes restaurante
Operarios de despiece litera meat
"Java developer, 100% en remoto"
"Fullstack technical architect, madrid"
"Java backend developer, madrid"
"Oracle fusion erp - solution architect, málaga"
"Salesforce developer, 100% en remoto"
"Front end angular programmer, 100% en remoto"
"Deloitte tech camp training for data, hibrido - primer empleo"
"Ms power developer, madrid"
Asesor-a laboral
Asistentes domiciliarios
"Conductores de camión, en general"
Oferta institucional técnico medio menores (equipo técnico asesoramiento) no admite autocandidatura
Panaderos
"Docente certificado de profesionalidad ""operaciones auxiliares de revestimientos continuos en…"
Asistentes domiciliarios
Profesionales de la educación ambiental
Conductores profesionales de automóvil
Enfermeros de cuidados generales
Conductores de camión con remolque y-o de tractocamión
Terapeutas ocupacionales
"Fisioterapeutas, en general"
"Conductores de camión, en general"
Dependienta
"Conductores de camión, en general"
"Cocineros, en general"
"Conductores de camión, en general"
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones"
Pinches de cocina
"Conductores de autobús, en general"
Camarero-a
Enfermeros de cuidados generales
Elaboradores de productos cárnicos
Auxiliares de enfermería
Oferta de un puesto de terapeuta ocupacional en el royo (soria)
Personal de limpieza o limpiadores en general
"Conserjes, en general"
"Camareros, en general"
Agentes comerciales
"Profesores de idiomas, en general"
Terapeutas ocupacionales
Chófer de reparto
Auxiliares de enfermería de geriatría
Mantenedores de edificios
"Técnicos administrativos, en general"
"Instaladores electricistas, en general"
"Cocineros, en general"
Peones de la industria metalúrgica y fabricación de productos metálicos
Profesores del área de matemáticas (enseñanza secundaria)
"Camareros, en general"
Agentes comerciales
"Cocineros, en general"
Auxiliares de enfermería de geriatría
Asistentes domiciliarios
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones"
Camarero-a
Formadores de formación para el empleo
Profesores técnicos de formación profesional (electricidad y electrónica)
"Cocineros, en general"
Elaboradores de productos cárnicos
1 conductor-a de trailers nacional
Terapeutas ocupacionales
Azafatos o auxiliares de congresos y exposiciones
Asistentes domiciliarios
Work-location
Work-location
2 puestos de técnico-a en construcciones metálicas (ref.2264)
Técnicos en educación infantil
Work-location
Camarero-a
Work-location
Formador-a en carpinteria y mueble
Operarios-as del metal para trabajos en altura (ref: 2265)
1 operador-a de grúa móvil autopropulsada
Formador-a en limpieza de espacios abiertos e instalaciones industriales.
Operario-a de producción especializado-a en manejo de carretilla elevadora.
Ingeniero-ingeniera
Cuidadores de niños en domicilio
Personal de limpieza o limpiadores en general
1 conductor-a camión grúa
Docente de matemáticas y tecnología (eso)
